record_id,date,Nama Gedung,Lantai,Hasil Ukur Suhu (Celsius)_mean,Hasil Ukur Suhu (Celsius)_max,Hasil Ukur Suhu (Celsius)_min,Hasil Ukur Suhu (Celsius)_std,Hasil Ukur Suhu (Celsius)_count,level,system_type,meter_id,building,category,description,source_file,file_path,processed_ts
1,2024-01-01,OPMC,2,28.25,31,27,1.89,4,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
2,2024-01-01,OPMC,3,29.33,31,28,1.53,3,L3,TEMP_SENSOR,251401003,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L3 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
3,2024-01-01,OPMC,5,26.38,32,23,3.11,8,L5,TEMP_SENSOR,251401005,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L5 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
4,2024-01-01,OPMC,6,28.67,32,26,2.15,12,L6,TEMP_SENSOR,251401006,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L6 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
5,2024-01-01,STO,1,27.77,32,19,2.91,47,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
6,2024-01-01,WITEL,1,29.25,34,25,2.53,12,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
7,2024-01-01,WITEL,2,25.25,30,19,3.58,8,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
8,2024-01-01,WITEL,3,25.14,28,20,3.08,7,L3,TEMP_SENSOR,251401003,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L3 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
9,2024-01-01,WITEL,4,26.8,30,23,3.56,5,L4,TEMP_SENSOR,251401004,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L4 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
10,2024-01-01,WITEL,5,26.2,30,20,3.65,10,L5,TEMP_SENSOR,251401005,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L5 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
11,2024-01-01,WITEL,6,27.6,29,23,1.9,10,L6,TEMP_SENSOR,251401006,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L6 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
12,2024-01-01,WITEL,7,27.53,31,22,3.09,15,L7,TEMP_SENSOR,251401007,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L7 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
13,2024-01-01,WITEL,8,28.8,30,27,1.3,5,L8,TEMP_SENSOR,251401008,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L8 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
14,2024-01-02,OPMC,2,28.0,29,27,0.82,4,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
15,2024-01-02,OPMC,3,27.67,28,27,0.58,3,L3,TEMP_SENSOR,251401003,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L3 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
16,2024-01-02,OPMC,5,26.25,32,21,5.28,8,L5,TEMP_SENSOR,251401005,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L5 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
17,2024-01-02,OPMC,6,28.83,32,23,2.55,12,L6,TEMP_SENSOR,251401006,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L6 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
18,2024-01-02,STO,1,27.94,32,20,3.0,47,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
19,2024-01-02,WITEL,1,29.83,34,26,2.66,12,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
20,2024-01-02,WITEL,2,25.62,28,23,1.92,8,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
21,2024-01-02,WITEL,3,27.0,32,24,2.83,7,L3,TEMP_SENSOR,251401003,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L3 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
22,2024-01-02,WITEL,4,27.2,32,22,3.7,5,L4,TEMP_SENSOR,251401004,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L4 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
23,2024-01-02,WITEL,5,27.3,30,21,2.79,10,L5,TEMP_SENSOR,251401005,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L5 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
24,2024-01-02,WITEL,6,27.4,29,23,2.01,10,L6,TEMP_SENSOR,251401006,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L6 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
25,2024-01-02,WITEL,7,27.67,32,23,2.97,15,L7,TEMP_SENSOR,251401007,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L7 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
26,2024-01-02,WITEL,8,29.0,31,27,1.58,5,L8,TEMP_SENSOR,251401008,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L8 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
27,2024-01-03,OPMC,2,30.0,32,27,2.16,4,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
28,2024-01-03,OPMC,3,30.67,32,30,1.15,3,L3,TEMP_SENSOR,251401003,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L3 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
29,2024-01-03,OPMC,5,26.0,31,23,2.98,8,L5,TEMP_SENSOR,251401005,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L5 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
30,2024-01-03,OPMC,6,28.83,31,25,1.9,12,L6,TEMP_SENSOR,251401006,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L6 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
31,2024-01-03,STO,1,27.91,32,21,2.9,47,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
32,2024-01-03,WITEL,1,29.0,33,26,2.04,12,L1,TEMP_SENSOR,251401001,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L1 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
33,2024-01-03,WITEL,2,25.75,29,22,2.6,8,L2,TEMP_SENSOR,251401002,WITEL,TEMPERATURE,WITEL TEMP_SENSOR L2 Daily Temperature Data,survey_suhu_2024_daily2.csv,project/data/raw/temperature/,2025-08-06 19:43:18
