record_id,date,Lantai_No_mean,Lantai_No_max,Lantai_No_min,Lantai_No_std,Lantai_No_count,Occupansi_mean,Occupansi_max,Occupansi_min,Occupansi_std,Occupansi_count,building,category,system_type,level,meter_id,description,source_file,file_path,processed_ts
1,2024-01-01,4.78,8,1,2.1,227,7.59,245,0,17.07,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
2,2024-01-02,4.76,8,1,2.09,228,7.41,241,0,16.76,228,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
3,2024-01-03,4.78,8,1,2.08,232,7.28,200,0,14.24,232,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
4,2024-01-04,4.77,8,1,2.1,227,7.9,204,0,14.82,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
5,2024-01-05,4.77,8,1,2.09,227,7.45,229,0,16.16,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
6,2024-01-06,4.78,8,1,2.09,227,7.37,230,0,16.09,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
7,2024-01-07,4.82,8,1,2.09,226,7.99,246,0,17.34,226,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
8,2024-01-08,4.76,8,1,2.08,228,7.52,215,0,15.06,228,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
9,2024-01-09,4.78,8,1,2.09,226,7.53,260,0,18.17,226,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
10,2024-01-10,4.77,8,1,2.09,227,7.23,224,0,15.68,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
11,2024-01-11,4.78,8,1,2.07,227,7.44,253,0,17.74,227,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
12,2024-01-12,4.78,8,1,2.09,225,7.39,234,0,16.44,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
13,2024-01-13,4.78,8,1,2.09,225,7.18,223,0,15.87,225,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
14,2024-01-14,4.78,8,1,2.09,226,7.33,215,0,15.14,226,WITEL,OCCUPANCY,OCCUPANCY_SENSOR,General,251400901,WITEL OCCUPANCY_SENSOR Daily Aggregated Data,DataOccupansi.csv,project/data/raw/occupancy/,2025-08-06 19:36:12
