time,relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),soil_temperature_18cm (°C),is_day (),sunshine_duration (s),uv_index (),direct_radiation (W/m²),temperature_2m (°C),showers (mm),cloud_cover (%),weather_description
2024-01-01 00:00:00,88,24.9,33.5,0.0,1009.5,1006.6,0.01,0.43,1.9,158,4.3,30.9,0,0.0,0.0,0.0,27.1,0.0,88,Overcast
2024-01-01 01:00:00,89,24.9,33.2,0.0,1009.0,1006.1,0.01,0.39,1.9,158,4.3,30.7,0,0.0,0.0,0.0,26.9,0.0,88,Overcast
2024-01-01 02:00:00,90,24.8,33.0,0.0,1008.7,1005.8,0.01,0.35,1.9,158,4.7,30.6,0,0.0,0.0,0.0,26.6,0.0,81,Partly cloudy
2024-01-01 03:00:00,91,24.8,32.7,0.0,1008.4,1005.5,0.01,0.31,2.4,153,4.7,30.4,0,0.0,0.0,0.0,26.4,0.0,74,Partly cloudy
2024-01-01 04:00:00,91,24.8,32.6,0.0,1008.4,1005.5,0.01,0.31,2.6,146,5.0,30.3,0,0.0,0.0,0.0,26.4,0.0,67,Partly cloudy
2024-01-01 05:00:00,91,24.7,32.5,0.0,1008.9,1006.0,-0.0,0.31,2.6,146,5.8,30.1,0,0.0,0.0,0.0,26.3,0.0,53,Mainly clear
2024-01-01 06:00:00,91,24.8,32.6,0.0,1009.6,1006.7,-0.0,0.31,2.8,140,6.5,30.0,1,82.31,0.0,7.0,26.4,0.0,40,Mainly clear
2024-01-01 07:00:00,89,25.0,33.2,0.0,1010.1,1007.2,0.01,0.39,3.1,126,7.2,29.9,1,3387.06,0.6,62.0,27.0,0.0,26,Mainly clear
2024-01-01 08:00:00,82,24.9,34.3,0.0,1010.3,1007.4,0.07,0.69,4.8,103,11.9,29.8,1,3600.0,2.1,167.0,28.3,0.0,42,Partly cloudy
2024-01-01 09:00:00,72,24.5,35.4,0.0,1010.4,1007.6,0.14,1.19,7.2,90,16.2,29.8,1,3600.0,4.0,303.0,30.1,0.0,57,Partly cloudy
2024-01-01 10:00:00,65,24.2,37.0,0.0,1010.2,1007.4,0.22,1.62,9.1,81,20.9,29.9,1,3600.0,6.05,432.0,31.6,0.0,73,Partly cloudy
2024-01-01 11:00:00,62,24.2,38.4,0.1,1009.6,1006.8,0.28,1.85,9.8,66,24.1,30.1,1,3600.0,7.55,508.0,32.5,0.1,73,Partly cloudy
2024-01-01 12:00:00,61,24.5,39.2,0.1,1008.8,1006.0,0.35,1.96,10.4,46,27.7,30.3,1,3600.0,8.3,530.0,33.0,0.1,73,Partly cloudy
2024-01-01 13:00:00,60,24.6,39.5,0.1,1008.2,1005.4,0.4,2.06,11.6,36,31.0,30.5,1,3600.0,8.1,519.0,33.4,0.1,73,Partly cloudy
2024-01-01 14:00:00,70,25.2,37.4,1.3,1008.4,1005.6,0.42,1.37,9.1,18,24.1,30.7,1,3600.0,5.4,321.0,31.4,1.3,100,Rain showers: Slight
2024-01-01 15:00:00,73,24.9,35.8,1.3,1007.9,1005.1,0.37,1.16,8.2,23,23.4,30.9,1,3600.0,2.25,172.0,30.3,1.3,100,Rain showers: Slight
2024-01-01 16:00:00,76,24.8,35.1,1.3,1007.6,1004.8,0.32,0.99,6.6,29,23.0,31.1,1,1681.94,1.35,68.0,29.5,1.3,100,Rain showers: Slight
2024-01-01 17:00:00,77,24.7,34.9,0.0,1007.8,1005.0,0.24,0.93,4.8,42,18.4,31.1,1,0.0,1.25,21.0,29.1,0.0,100,Overcast
2024-01-01 18:00:00,83,24.9,34.2,3.9,1008.9,1006.0,0.1,0.65,3.9,248,14.8,30.6,1,0.0,0.4,0.0,28.1,3.9,100,Thunderstorm with slight hail
2024-01-01 19:00:00,84,24.8,33.7,2.3,1009.7,1006.8,0.06,0.6,4.6,231,15.1,30.7,0,0.0,0.0,0.0,27.8,2.3,100,Thunderstorm: Slight or moderate
2024-01-01 20:00:00,86,24.6,33.2,3.1,1010.2,1007.3,0.05,0.5,3.2,207,11.9,30.7,0,0.0,0.0,0.0,27.2,3.1,100,Thunderstorm: Slight or moderate
2024-01-01 21:00:00,87,24.4,32.6,3.4,1010.8,1007.9,0.05,0.46,3.2,180,9.7,30.6,0,0.0,0.0,0.0,26.7,3.4,100,Thunderstorm: Slight or moderate
2024-01-01 22:00:00,87,24.0,32.2,2.7,1010.7,1007.8,0.03,0.45,1.6,207,7.2,30.5,0,0.0,0.0,0.0,26.4,2.7,100,Thunderstorm: Slight or moderate
2024-01-01 23:00:00,88,24.1,32.1,0.7,1010.4,1007.5,0.03,0.41,1.9,202,5.4,30.4,0,0.0,0.0,0.0,26.3,0.6,100,Rain showers: Slight
2024-01-02 00:00:00,89,24.3,32.3,0.5,1009.8,1006.9,0.02,0.37,1.1,180,4.0,30.3,0,0.0,0.0,0.0,26.2,0.5,100,Rain showers: Slight
2024-01-02 01:00:00,88,24.1,32.1,0.0,1009.5,1006.6,0.01,0.41,1.9,292,3.6,30.2,0,0.0,0.0,0.0,26.3,0.0,100,Overcast
