record_id,date,building,level,category,system_type,id_meter_id,id_id,id_stand_energy_kirim,energy_kwh_total,energy_kwh_daily,energy_voltage_l1,energy_voltage_l2,energy_voltage_l3,energy_current_l1,energy_current_l2,energy_current_l3,energy_frequency,energy_power_factor,energy_reactive_import,energy_reactive_export,energy_apparent_import,energy_apparent_export,energy_signal_strength,occupancy_floor_number_mean,occupancy_floor_number_max,occupancy_floor_number_min,occupancy_floor_number_std,occupancy_floor_number_count,occupancy_count_mean,occupancy_count_max,occupancy_count_min,occupancy_count_std,occupancy_count_datapoints,temp_floor,temperature_celsius_mean,temperature_celsius_max,temperature_celsius_min,temperature_celsius_std,temperature_celsius_count,id_n_id,id_stand_energy_terima,lokasi,data_points_count,,,,,,,,
1,1/1/2024,WITEL,L2,AHU,AHU,251400247,605043,19159377.06,1915.937706,180.8505588,227.3119266,227.5504587,229.4036697,0,0,0,50.00256881,0.35343578,251920,4801904.229,22762431.84,0,-92.94495413,3.87,6.642758851,2.67602382,2.18,235,67.3,87.6,54.7,11,239,2,24.2,26.7,22.1,1.5,36,13,0,103,1,,,,,,,,
2,1/2/2024,WITEL,L2,AHU,AHU,251400247,608776,19241144.54,1924.114454,8.17674736,226.7815126,227.0168067,228.8739496,0.268907563,1.218487395,1.773109244,50.00495798,0.544610924,251920,4837804.479,22870328.13,0,-93.5210084,1.83,4.186822133,1,2.41,233,48,69.6,34.8,5.6,201,2,25.6,27.8,22.7,0.8,35,13,0,103,1,,,,,,,,
3,1/3/2024,WITEL,L2,AHU,AHU,251400247,612421,19410110.26,1941.011026,16.89657186,227.7008547,228.1282051,229.6410256,0.376068376,0.982905983,1.504273504,50.01837607,0.528900855,251920,4891138.932,23078211.07,0,-94.06837607,1.78,3.797468581,1,1.22,214,38,58.9,31.9,9.8,233,2,26.1,29.8,24.3,0.9,30,13,0,103,1,,,,,,,,
4,1/4/2024,WITEL,L2,AHU,AHU,251400247,615933,19547332.38,1954.733238,13.72221245,226.7428571,227.1333333,228.4190476,0.228571429,0.59047619,1.676190476,49.998,0.534461905,251920,4944554.571,23252800.27,0,-93.8,3.94,6.058463342,2.431170599,2.24,181,40.5,62.6,32.4,8.3,226,2,24.5,27.3,21.9,1.6,37,13,0,103,1,,,,,,,,
5,1/5/2024,WITEL,L2,AHU,AHU,251400247,619392,19645649.4,1964.56494,9.831701664,226.5060241,226.626506,228.2650602,0.421686747,1.662650602,0.951807229,50.00638554,0.553814458,251920,4985644.542,23378306.1,0,-93.06024096,4.15,6.291966835,2.504092955,0.88,229,53.2,74,47.5,11.6,273,2,26.4,28.6,23.9,0.8,35,13,0,103,1,,,,,,,,
6,1/6/2024,WITEL,L2,AHU,AHU,251400247,623087,19766809.09,1976.680909,12.11596933,228.4909091,228.8,230.4909091,0,0,0,50.02009091,0.349521818,251920,5044476.145,23543804.43,0,-94.1,1,2.250282626,1,1.07,214,24.5,46.2,18.8,9.3,235,2,25.3,28.5,23,1.1,38,13,0,103,1,,,,,,,,
7,1/7/2024,WITEL,L2,AHU,AHU,251400247,626670,19779182.69,1977.918269,1.23736014,228.0865385,228.3269231,230.1153846,0,0,0,50.0075,0.350942308,251920,5073662.625,23578074.43,0,-93.375,7.45,8,6.185376244,2.46,240,16.2,30.7,8.3,6.9,228,2,25.9,28.3,24.2,0.9,32,13,0,103,1,,,,,,,,
8,1/8/2024,WITEL,L2,AHU,AHU,251400247,631443,19889128,1988.9128,10.99453077,225.5733333,225.84,227.1866667,0.266666667,1.506666667,2.173333333,50.00853333,0.561089333,251920,5121766.92,23723539.56,0,-94.05333333,5.46,8,3.800063616,2.1,227,17.1,28.5,7.8,5.1,238,2,27.3,29.8,25.1,1.2,27,13,0,103,1,,,,,,,,
9,1/9/2024,WITEL,L2,AHU,AHU,251400247,634333,20034723.28,2003.472328,14.55952759,226.6724138,226.9396552,228.2844828,0.405172414,1.275862069,2.474137931,50.00655172,0.537044828,251920,5163964.879,23899464.25,0,-93.4137931,4.67,5.860825101,2.913941733,2.12,227,15.3,38.4,2.9,6.7,238,2,25.9,28.2,23.6,1.5,25,13,0,103,1,,,,,,,,
10,1/10/2024,WITEL,L2,AHU,AHU,251400247,638024,20187143.04,2018.714304,15.24197621,226.7594937,226.9873418,228.5696203,0.860759494,1.392405063,1.772151899,50.0278481,0.473297468,251920,5223065.456,24097039.62,0,-94.60759494,3.93,5.211629036,2.845222067,1.62,245,33.5,56.7,25.1,7.6,225,2,26.1,28.4,23.5,1.4,26,13,0,103,1,,,,,,,,
11,1/11/2024,WITEL,L2,AHU,AHU,251400247,642408,20344672.54,2034.467254,15.75295044,227.1864407,227.4440678,228.9864407,0.481355932,1.020338983,1.857627119,50.01545763,0.566497966,251920,5277965.654,24295477.13,0,-92.77627119,4.25,6.170301536,3.138353362,1.04,206,29.6,54,16.6,9,241,2,26.3,28.6,24,1.9,32,13,0,103,1,,,,,,,,
12,1/12/2024,WITEL,L2,AHU,AHU,251400247,651527,20481826.5,2048.18265,13.71539534,227.1794872,227.3931624,229.0512821,0.094017094,0.897435897,1.076923077,50.00606838,0.476373504,251920,5332197.726,24476105.49,0,-93.47863248,3.48,5.802203903,2.000703283,2.2,224,40.5,53.1,28.1,11.8,274,2,25.3,27.6,22.7,1.4,28,13,0,103,1,,,,,,,,
