id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
609718,26,2024-01-02 06:30:54,OPMC_SDP_L2,23798500.0,225,225,227,1,2,1,49.97,0.9041,2024-01-02 06:31:04.000,2024-01-02 06:31:04.000,2024-01-02 06:31:04.000,1434373.0,3994603.0,27120463,-119.0,98
609752,26,2024-01-02 06:40:03,OPMC_SDP_L2,23800100.0,225,225,227,1,3,1,49.97,0.9138,2024-01-02 06:40:29.000,2024-01-02 06:40:29.000,2024-01-02 06:40:29.000,1434413.0,3994859.0,27122206,-107.0,98
609798,26,2024-01-02 07:00:03,OPMC_SDP_L2,23803700.0,224,225,226,1,2,2,49.99,0.9204,2024-01-02 07:00:18.000,2024-01-02 07:00:18.000,2024-01-02 07:00:18.000,1434490.0,3995370.0,27126133,-118.0,98
609824,26,2024-01-02 07:10:03,OPMC_SDP_L2,23805700.0,226,226,228,1,2,2,50.03,0.9364,2024-01-02 07:10:25.000,2024-01-02 07:10:25.000,2024-01-02 07:10:25.000,1434516.0,3995656.0,27128246,-120.0,98
609838,26,2024-01-02 07:20:03,OPMC_SDP_L2,23807600.0,225,225,227,1,3,2,49.99,0.9425,2024-01-02 07:20:10.000,2024-01-02 07:20:10.000,2024-01-02 07:20:10.000,1434541.0,3995922.0,27130322,-105.0,98
609865,26,2024-01-02 07:30:03,OPMC_SDP_L2,23809200.0,224,225,227,3,2,1,49.99,0.909,2024-01-02 07:30:08.000,2024-01-02 07:30:08.000,2024-01-02 07:30:08.000,1434564.0,3996201.0,27132071,-117.0,98
609904,26,2024-01-02 07:40:03,OPMC_SDP_L2,23810700.0,226,226,228,1,2,1,50.03,0.8466999999999999,2024-01-02 07:40:24.000,2024-01-02 07:40:24.000,2024-01-02 07:40:24.000,1434588.0,3996675.0,27133779,-115.0,98
609929,26,2024-01-02 07:50:03,OPMC_SDP_L2,23812200.0,226,226,228,1,2,1,49.99,0.8914,2024-01-02 07:50:31.000,2024-01-02 07:50:31.000,2024-01-02 07:50:31.000,1434623.0,3997015.0,27135512,-121.0,98
609953,26,2024-01-02 08:00:03,OPMC_SDP_L2,23813800.0,225,225,227,1,2,1,49.99,0.8911999999999999,2024-01-02 08:00:22.000,2024-01-02 08:00:22.000,2024-01-02 08:00:22.000,1434648.0,3997295.0,27137256,-120.0,98
609973,26,2024-01-02 08:10:03,OPMC_SDP_L2,23816200.0,224,223,226,1,6,1,50.0,0.8997999999999999,2024-01-02 08:10:17.000,2024-01-02 08:10:17.000,2024-01-02 08:10:17.000,1434704.0,3997637.0,27139875,-103.0,98
609998,26,2024-01-02 08:20:03,OPMC_SDP_L2,23819000.0,226,225,228,1,6,1,49.99,0.9103,2024-01-02 08:20:19.000,2024-01-02 08:20:19.000,2024-01-02 08:20:19.000,1434730.0,3998096.0,27143046,-117.0,98
