id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
605011,12,2024-01-01 00:10:03,WITEL_AHU_L6,26900200.0,229,230,231,0,0,0,49.95,1.0,2024-01-01 00:10:08.000,2024-01-01 00:10:08.000,2024-01-01 00:10:08.000,32238676.0,28547.0,43058967,-103.0,90
605041,12,2024-01-01 00:20:03,WITEL_AHU_L6,26900200.0,229,230,231,0,0,0,49.98,1.0,2024-01-01 00:20:10.000,2024-01-01 00:20:10.000,2024-01-01 00:20:10.000,32238676.0,28547.0,43058967,-102.0,90
605092,12,2024-01-01 00:40:03,WITEL_AHU_L6,26900200.0,229,230,231,0,0,0,49.99,1.0,2024-01-01 00:40:08.000,2024-01-01 00:40:08.000,2024-01-01 00:40:08.000,32238676.0,28547.0,43058967,-100.0,90
605116,12,2024-01-01 00:50:03,WITEL_AHU_L6,26900200.0,229,230,231,0,0,0,49.98,1.0,2024-01-01 00:50:10.000,2024-01-01 00:50:10.000,2024-01-01 00:50:10.000,32238676.0,28547.0,43058967,-102.0,90
605145,12,2024-01-01 01:00:03,WITEL_AHU_L6,26900200.0,229,230,231,0,0,0,49.97,1.0,2024-01-01 01:00:08.000,2024-01-01 01:00:08.000,2024-01-01 01:00:08.000,32238676.0,28547.0,43058967,-115.0,90
605201,12,2024-01-01 01:20:03,WITEL_AHU_L6,26900200.0,229,230,232,0,0,0,50.02,1.0,2024-01-01 01:20:10.000,2024-01-01 01:20:10.000,2024-01-01 01:20:10.000,32238676.0,28547.0,43058967,-117.0,90
605223,12,2024-01-01 01:30:03,WITEL_AHU_L6,26900200.0,229,230,232,0,0,0,49.97,1.0,2024-01-01 01:30:06.000,2024-01-01 01:30:06.000,2024-01-01 01:30:06.000,32238676.0,28547.0,43058967,-114.0,90
605250,12,2024-01-01 01:40:03,WITEL_AHU_L6,26900200.0,229,230,232,0,0,0,50.0,1.0,2024-01-01 01:40:08.000,2024-01-01 01:40:08.000,2024-01-01 01:40:08.000,32238676.0,28547.0,43058967,-105.0,90
605277,12,2024-01-01 01:50:03,WITEL_AHU_L6,26900200.0,230,230,232,0,0,0,50.0,1.0,2024-01-01 01:50:08.000,2024-01-01 01:50:08.000,2024-01-01 01:50:08.000,32238676.0,28547.0,43058967,-113.0,90
605325,12,2024-01-01 02:10:03,WITEL_AHU_L6,26900200.0,230,231,232,0,0,0,50.05,1.0,2024-01-01 02:10:06.000,2024-01-01 02:10:06.000,2024-01-01 02:10:06.000,32238676.0,28547.0,43058967,-114.0,90
605382,12,2024-01-01 02:30:03,WITEL_AHU_L6,26900200.0,230,231,232,0,0,0,49.99,1.0,2024-01-01 02:30:07.000,2024-01-01 02:30:07.000,2024-01-01 02:30:07.000,32238676.0,28547.0,43058967,-111.0,90
605407,12,2024-01-01 02:40:03,WITEL_AHU_L6,26900200.0,230,231,232,0,0,0,50.04,1.0,2024-01-01 02:40:10.000,2024-01-01 02:40:10.000,2024-01-01 02:40:10.000,32238676.0,28547.0,43058967,-101.0,90
605435,12,2024-01-01 02:50:03,WITEL_AHU_L6,26900200.0,230,231,232,0,0,0,49.98,1.0,2024-01-01 02:50:07.000,2024-01-01 02:50:07.000,2024-01-01 02:50:07.000,32238676.0,28547.0,43058967,-115.0,90
605495,12,2024-01-01 03:10:03,WITEL_AHU_L6,26900200.0,230,231,233,0,0,0,49.95,1.0,2024-01-01 03:10:08.000,2024-01-01 03:10:08.000,2024-01-01 03:10:08.000,32238676.0,28547.0,43058967,-114.0,90
605517,12,2024-01-01 03:20:03,WITEL_AHU_L6,26900200.0,228,229,230,0,0,0,50.05,1.0,2024-01-01 03:20:10.000,2024-01-01 03:20:10.000,2024-01-01 03:20:10.000,32238676.0,28547.0,43058967,-99.0,90
605544,12,2024-01-01 03:30:03,WITEL_AHU_L6,26900200.0,228,229,230,0,0,0,50.0,1.0,2024-01-01 03:30:10.000,2024-01-01 03:30:10.000,2024-01-01 03:30:10.000,32238676.0,28547.0,43058967,-115.0,90
605622,12,2024-01-01 04:00:03,WITEL_AHU_L6,26900200.0,228,229,230,0,0,0,50.03,1.0,2024-01-01 04:00:08.000,2024-01-01 04:00:08.000,2024-01-01 04:00:08.000,32238676.0,28547.0,43058967,-117.0,90
