id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
604991,18,2024-01-01 00:00:04,WITEL_SDP_L5,34461900.0,229,229,231,1,1,1,49.98,0.8004999999999999,2024-01-01 00:00:12.000,2024-01-01 00:00:12.000,2024-01-01 00:00:12.000,2395306.0,3368398.0,37371698,-89.0,81
605021,18,2024-01-01 00:10:03,WITEL_SDP_L5,34462700.0,229,230,231,1,0,1,49.95,0.7562,2024-01-01 00:10:21.000,2024-01-01 00:10:21.000,2024-01-01 00:10:21.000,2395619.0,3368432.0,37372695,-89.0,81
605050,18,2024-01-01 00:20:03,WITEL_SDP_L5,34463400.0,229,230,231,1,1,1,49.98,0.7706999999999999,2024-01-01 00:20:20.000,2024-01-01 00:20:20.000,2024-01-01 00:20:20.000,2395955.0,3368492.0,37373703,-89.0,81
605101,18,2024-01-01 00:40:03,WITEL_SDP_L5,34464700.0,229,230,232,1,1,1,49.99,0.7714,2024-01-01 00:40:17.000,2024-01-01 00:40:17.000,2024-01-01 00:40:17.000,2396242.0,3368613.0,37375324,-109.0,81
605129,18,2024-01-01 00:50:03,WITEL_SDP_L5,34465300.0,229,230,232,1,0,1,49.99,0.7486999999999999,2024-01-01 00:50:28.000,2024-01-01 00:50:28.000,2024-01-01 00:50:28.000,2396382.0,3368672.0,37376111,-87.0,81
605179,18,2024-01-01 01:10:03,WITEL_SDP_L5,34466900.0,229,230,232,1,1,1,49.99,0.7908,2024-01-01 01:10:19.000,2024-01-01 01:10:19.000,2024-01-01 01:10:19.000,2397023.0,3368714.0,37378152,-89.0,81
605213,18,2024-01-01 01:20:55,WITEL_SDP_L5,34467700.0,230,230,232,1,1,1,50.0,0.7698999999999999,2024-01-01 01:21:03.000,2024-01-01 01:21:03.000,2024-01-01 01:21:03.000,2397360.0,3368775.0,37379224,-87.0,81
605260,18,2024-01-01 01:40:02,WITEL_SDP_L5,34468900.0,230,230,232,1,1,1,50.0,0.7762999999999999,2024-01-01 01:40:20.000,2024-01-01 01:40:20.000,2024-01-01 01:40:20.000,2397629.0,3368890.0,37380763,-87.0,81
605288,18,2024-01-01 01:50:02,WITEL_SDP_L5,34469500.0,230,230,232,1,1,1,50.0,0.7686999999999999,2024-01-01 01:50:17.000,2024-01-01 01:50:17.000,2024-01-01 01:50:17.000,2397771.0,3368952.0,37381584,-88.0,81
605315,18,2024-01-01 02:00:02,WITEL_SDP_L5,34470100.0,230,230,232,1,0,1,49.98,0.7502,2024-01-01 02:00:18.000,2024-01-01 02:00:18.000,2024-01-01 02:00:18.000,2397912.0,3369012.0,37382387,-111.0,81
605328,18,2024-01-01 02:10:03,WITEL_SDP_L5,34471000.0,230,230,232,1,1,1,50.05,0.7996,2024-01-01 02:10:09.000,2024-01-01 02:10:09.000,2024-01-01 02:10:09.000,2398322.0,3369038.0,37383516,-112.0,81
605370,18,2024-01-01 02:20:03,WITEL_SDP_L5,34471900.0,230,231,232,1,0,1,50.01,0.7542,2024-01-01 02:20:28.000,2024-01-01 02:20:28.000,2024-01-01 02:20:28.000,2398747.0,3369048.0,37384635,-87.0,81
605403,18,2024-01-01 02:40:04,WITEL_SDP_L5,34473100.0,230,231,233,1,1,1,50.04,0.7727999999999999,2024-01-01 02:40:07.000,2024-01-01 02:40:07.000,2024-01-01 02:40:07.000,2399032.0,3369167.0,37386228,-87.0,81
605447,18,2024-01-01 02:50:03,WITEL_SDP_L5,34473700.0,230,231,233,1,1,1,49.98,0.7821999999999999,2024-01-01 02:50:16.000,2024-01-01 02:50:16.000,2024-01-01 02:50:16.000,2399176.0,3369228.0,37387038,-87.0,81
605477,18,2024-01-01 03:00:03,WITEL_SDP_L5,34474400.0,230,231,233,1,0,1,49.97,0.7512,2024-01-01 03:00:17.000,2024-01-01 03:00:17.000,2024-01-01 03:00:17.000,2399319.0,3369289.0,37387847,-86.0,81
605504,18,2024-01-01 03:10:03,WITEL_SDP_L5,34475200.0,230,231,233,1,1,1,49.95,0.7675,2024-01-01 03:10:20.000,2024-01-01 03:10:20.000,2024-01-01 03:10:20.000,2399661.0,3369351.0,37388882,-87.0,81
605522,18,2024-01-01 03:20:03,WITEL_SDP_L5,34476000.0,228,229,230,1,1,1,50.05,0.8029999999999999,2024-01-01 03:20:16.000,2024-01-01 03:20:16.000,2024-01-01 03:20:16.000,2400046.0,3369368.0,37389970,-86.0,81
605541,18,2024-01-01 03:30:03,WITEL_SDP_L5,34476800.0,228,228,230,1,0,1,50.0,0.7486999999999999,2024-01-01 03:30:08.000,2024-01-01 03:30:08.000,2024-01-01 03:30:08.000,2400300.0,3369384.0,37390901,-87.0,81
605594,18,2024-01-01 03:50:03,WITEL_SDP_L5,34478000.0,228,229,230,1,1,1,49.99,0.7725,2024-01-01 03:50:06.000,2024-01-01 03:50:06.000,2024-01-01 03:50:06.000,2400574.0,3369505.0,37392512,-113.0,81
605689,18,2024-01-01 04:20:03,WITEL_SDP_L5,34480100.0,229,229,231,1,1,1,50.07,0.815,2024-01-01 04:20:22.000,2024-01-01 04:20:22.000,2024-01-01 04:20:22.000,2401318.0,3369679.0,37395310,-88.0,81
605716,18,2024-01-01 04:30:03,WITEL_SDP_L5,34480900.0,228,229,230,1,1,1,50.05,0.7789999999999999,2024-01-01 04:30:27.000,2024-01-01 04:30:27.000,2024-01-01 04:30:27.000,2401617.0,3369679.0,37396309,-112.0,81
605737,18,2024-01-01 04:40:03,WITEL_SDP_L5,34481600.0,228,229,231,1,1,1,50.07,0.7721999999999999,2024-01-01 04:40:14.000,2024-01-01 04:40:14.000,2024-01-01 04:40:14.000,2401794.0,3369725.0,37397158,-113.0,81
605773,18,2024-01-01 04:50:03,WITEL_SDP_L5,34482200.0,228,229,231,1,1,1,50.05,0.7820999999999999,2024-01-01 04:50:20.000,2024-01-01 04:50:20.000,2024-01-01 04:50:20.000,2401931.0,3369787.0,37397980,-114.0,81
605794,18,2024-01-01 05:00:03,WITEL_SDP_L5,34482900.0,228,229,230,1,0,1,50.03,0.7569999999999999,2024-01-01 05:00:15.000,2024-01-01 05:00:15.000,2024-01-01 05:00:15.000,2402099.0,3369847.0,37398826,-87.0,81
605850,18,2024-01-01 05:20:02,WITEL_SDP_L5,34484400.0,228,228,230,1,1,1,50.03,0.7660999999999999,2024-01-01 05:20:23.000,2024-01-01 05:20:23.000,2024-01-01 05:20:23.000,2402651.0,3369968.0,37400749,-87.0,81
605901,18,2024-01-01 05:40:03,WITEL_SDP_L5,34485800.0,228,228,230,1,1,1,50.0,0.7908,2024-01-01 05:40:24.000,2024-01-01 05:40:24.000,2024-01-01 05:40:24.000,2403088.0,3370027.0,37402577,-112.0,81
605919,18,2024-01-01 05:50:03,WITEL_SDP_L5,34486500.0,228,228,230,1,1,1,50.0,0.7667999999999999,2024-01-01 05:50:11.000,2024-01-01 05:50:11.000,2024-01-01 05:50:11.000,2403294.0,3370061.0,37403452,-86.0,81
605948,18,2024-01-01 06:00:03,WITEL_SDP_L5,34487100.0,228,228,230,1,1,1,50.05,0.7537999999999999,2024-01-01 06:00:10.000,2024-01-01 06:00:10.000,2024-01-01 06:00:10.000,2403481.0,3370121.0,37404322,-86.0,81
606013,18,2024-01-01 06:20:03,WITEL_SDP_L5,34488600.0,227,228,230,1,1,1,50.04,0.7643,2024-01-01 06:20:15.000,2024-01-01 06:20:15.000,2024-01-01 06:20:15.000,2404013.0,3370240.0,37406228,-85.0,81
606035,18,2024-01-01 06:30:03,WITEL_SDP_L5,34489200.0,227,228,229,1,0,1,50.01,0.7399999999999999,2024-01-01 06:30:21.000,2024-01-01 06:30:21.000,2024-01-01 06:30:21.000,2404151.0,3370300.0,37407044,-86.0,81
606088,18,2024-01-01 06:50:03,WITEL_SDP_L5,34490600.0,227,228,230,1,1,1,50.05,0.7959999999999999,2024-01-01 06:50:09.000,2024-01-01 06:50:09.000,2024-01-01 06:50:09.000,2404589.0,3370360.0,37408846,-87.0,81
