gedung,lantai,ruang,kelompok,jumlah,watt,durasion,totalwatt,wattmonthly
WITEL,1,Ruang Satpam ,TV On,2,20,24,40,"19,200"
WITEL,1,Ruang Satpam ,Lampu ,5,12,10,60,"12,000"
WITEL,1,Gudang ,Lampu ,4,12,10,48,"9,600"
WITEL,1,Gudang ,CCTV ,1,12,24,12,"5,760"
WITEL,1,Gudang ,AC 1,1,800,24,800,"384,000"
WITEL,1,Gudang ,Switch ,1,24,24,24,"11,520"
WITEL,1,Gudang ,Toa,1,10,10,10,"2,000"
WITEL,1,Gudang ,Exhaust ,2,45,24,90,"43,200"
WITEL,1,Gudang ,Telephone ,1,5,24,5,"2,400"
WITEL,1,Gudang ,Router ,1,18,24,18,"8,640"
WITEL,1,Gudang ,Socket ,6,0,0,0,  - 
WITEL,1,Gudang ,Ventilasi ,1,0,0,0,  - 
WITEL,1,Gudang ,Kran Air ,1,0,0,0,  - 
WITEL,1,Parkir Motor Depan ,Lampu ,40,12,13,480,"124,800"
WITEL,1,Equalizing ,Lampu ,1,16,24,16,"7,680"
WITEL,1,Equalizing ,CCTV ,2,12,24,24,"11,520"
WITEL,1,Equalizing ,Kipas Angin ,1,75,10,75,"15,000"
WITEL,1,Equalizing ,Exhaust ,1,45,10,45,"9,000"
WITEL,1,Equalizing ,Socket ,6,0,0,0,  - 
WITEL,1,Equalizing ,Ventilasi ,1,0,0,0,  - 
WITEL,1,Pompa Air ,Pompa Air ,8,250,12,2000,"480,000"
WITEL,1,Pompa Air ,Lampu ,16,18,10,288,"57,600"
WITEL,1,Pompa Air ,CCTV ,2,12,24,24,"11,520"
WITEL,1,Pompa Air ,Exhaust ,2,45,10,90,"18,000"
WITEL,1,Pompa Air ,Socket ,4,0,0,0,  - 
WITEL,1,Pompa Air ,Ventilasi ,1,0,0,0,  - 
WITEL,1,Ruang workshop ,Lampu ,2,18,10,36,"7,200"
WITEL,1,Ruang workshop ,Kipas Angin ,1,45,10,45,"9,000"
WITEL,1,Ruang workshop ,AC 2,1,1800,10,1800,"360,000"
WITEL,1,Ruang workshop ,PC/Laptop ,1,65,10,65,"13,000"
WITEL,1,Ruang workshop ,Dispenser ,1,300,10,300,"60,000"
WITEL,1,Ruang workshop ,Socket ,6,0,0,0,  - 
WITEL,1,Ruang workshop ,Ventilasi ,1,0,0,0,  - 
