timestamp,Lantai_No,Ruangan,Occupansi
01/01/2024,1,Satpam,4
01/01/2024,2,Gen Y Corner,8
01/01/2024,2,Warroom,2
01/01/2024,2,Fosikatel,2
01/01/2024,2,Business service,7
01/01/2024,2,WAN,9
01/01/2024,2,Gudang WAN,9
01/01/2024,2,Pantry belakang OPMC,8
01/01/2024,2,Koridor OPMC,6
01/01/2024,3,Digital Lab,7
01/01/2024,3,CC,3
01/01/2024,3,HR,2
01/01/2024,3,Manager CC,3
01/01/2024,3,Rapat CC,3
01/01/2024,3,Rapat HR,8
01/01/2024,3,Toilet Laki,4
01/01/2024,3,Toilet Perempuan,7
01/01/2024,3,Koridor Witel dan OPMC,6
01/01/2024,3,Masjid,245
01/01/2024,3,DKM,5
01/01/2024,3,Tempat Wudhu Pria,9
01/01/2024,3,Tempat Wudhu Wanita,4
01/01/2024,1,Pompa,1
01/01/2024,2,Makan,7
01/01/2024,2,Rapat Besar,4
01/01/2024,2,Tamu,3
01/01/2024,7,Ruang Meeting 4,18
01/01/2024,7,Ruang SL 1,7
01/01/2024,7,Ruang SL 2,2
01/01/2024,7,Ruang SL 3,8
01/01/2024,7,Ruang Nursery,8
01/01/2024,7,Ruang Smoking,2
01/01/2024,7,Ruang Working Space,1
01/01/2024,7,Ruang Pantry,1
01/01/2024,7,Ruang Istirahat,8
01/01/2024,7,Ruang Dapur,6
01/01/2024,4,Anet,1
01/01/2024,7,Ruang Lift,7
01/01/2024,1,Parkir Motor,4
01/01/2024,8,Kamar mandi wanita,2
01/01/2024,8,Kamar mandi pria,2
01/01/2024,8,Pantry,5
01/01/2024,8,Evakuasi,2
01/01/2024,8,Aula Dalam,2
01/01/2024,2,Lobby,3
01/01/2024,2,DGM,4
01/01/2024,2,GM,10
01/01/2024,2,Rapat Kecil,8
01/01/2024,8,Fitness,20
01/01/2024,4,HR,1
01/01/2024,4,Big Box,10
01/01/2024,4,Rapat Arnet,7
01/01/2024,1,Workshop,1
01/01/2024,6,Wudhu,10
01/01/2024,6,Kamar Mandi Pria,2
01/01/2024,6,Kamar Mandi Wanita,1
01/01/2024,6,Pantry 2,1
01/01/2024,6,Tunggu,3
01/01/2024,6,Meeting 2,2
01/01/2024,6,Dapur,2
01/01/2024,6,DBT 2 OPMC Meeting 1,0
01/01/2024,6,DBT 2 OPMC Lobby,5
