id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,KwH,KwH per Hari,id_stand_energy_terima,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,apparent_energy_export,rssi,lokasi,resample_date,data_points_count
605001,63,1/1/2024,0,717954169.4,717954.1694,,0,227.6393443,229.715847,230.8688525,341.0327869,302.4535519,328.3825137,50.01038251,5.871967213,1/1/2024 23:52,1/1/2024 23:52,1/1/2024 23:52,-21018.11388,917799.163,0,,0,1,1/1/2024,1
608783,63,1/2/2024,0,722212602.2,722212.6022,4258.432752,0,227.6612903,229.7150538,230.6397849,358.1290323,337.9462366,375.4569892,50.01043011,4.460913978,1/2/2024 23:57,1/2/2024 23:57,1/2/2024 23:57,-43544.38102,940097.7818,0,,0,1,1/2/2024,1
612426,63,1/3/2024,0,726597136.6,726597.1366,4384.534461,0,228.9234973,230.8196721,231.0983607,342.8469945,334.7978142,354.7377049,50.0189071,3.982677596,1/3/2024 23:55,1/3/2024 23:55,1/3/2024 23:55,-37447.90115,929152.4137,0,,0,1,1/3/2024,1
615948,63,1/4/2024,0,730676523.8,730676.5238,4079.387198,0,227.5185185,229.2698413,230.7037037,331.7724868,326.7566138,340.7354497,50.00555556,4.133386243,1/4/2024 23:52,1/4/2024 23:52,1/4/2024 23:52,-37865.41688,956389.8498,0,,0,1,1/4/2024,1
619404,63,1/5/2024,0,734793606.5,734793.6065,4117.082642,0,228.1290323,229.8967742,232.1354839,322.4258065,324.1032258,293.9354839,50.01896774,5.839290323,1/5/2024 23:57,1/5/2024 23:57,1/5/2024 23:57,-38675.52974,914334.6504,0,,0,1,1/5/2024,1
623045,63,1/6/2024,0,738835733.7,738835.7337,4042.127244,0,228.8369565,230.701087,229.8206522,299.5543478,297.3586957,296.3858696,50.02434783,3.437173913,1/6/2024 23:59,1/6/2024 23:59,1/6/2024 23:59,-54232.76054,966240.5276,0,,0,1,1/6/2024,1
626699,63,1/7/2024,0,742503335.1,742503.3351,3667.601439,0,228.4702703,230.4,229.4594595,294.7405405,311.1567568,296.9405405,50.01313514,3.952324324,1/7/2024 23:56,1/7/2024 23:56,1/7/2024 23:56,-25847.50432,966071.6449,0,,0,1,1/7/2024,1
630430,63,1/8/2024,0,746398857.9,746398.8579,3895.52276,0,227.3421053,229.1421053,228.7368421,328.4,338.3263158,337.1894737,50.01621053,3.346052632,1/8/2024 23:56,1/8/2024 23:56,1/8/2024 23:56,-32204.45063,977341.8329,0,,0,1,1/8/2024,1
634319,63,1/9/2024,0,750667647.1,750667.6471,4268.789164,0,227.5721925,229.4759358,229.4652406,338.5614973,360.1122995,339.7540107,50.01016043,3.649197861,1/9/2024 23:58,1/9/2024 23:58,1/9/2024 23:58,-25872.68925,955758.7675,0,,0,1,1/9/2024,1
638032,63,1/10/2024,0,755332482.9,755332.4829,4664.835847,0,228.534188,230.4444444,230.5128205,330.3504274,340.9487179,332.4615385,50.01952991,4.333034188,1/10/2024 23:57,1/10/2024 23:57,1/10/2024 23:57,-29134.84333,953023.0934,0,,0,1,1/10/2024,1
642432,63,1/11/2024,0,758783880.2,758783.8802,3451.397334,0,228.8662675,231.1217565,228.9001996,320.1177645,323.1896208,329.1137725,50.02027944,3.504810379,1/11/2024 23:55,1/11/2024 23:55,1/11/2024 23:55,-37710.45958,999073.9038,0,,0,1,1/11/2024,1
651539,63,1/12/2024,0,763137747.3,763137.7473,4353.867072,0,227.9032258,229.7956989,230.4139785,320.1075269,333.0698925,329.1290323,50.00849462,4.988225806,1/12/2024 23:46,1/12/2024 23:46,1/12/2024 23:46,-48218.97339,987543.2768,0,,0,1,1/12/2024,1
659361,63,1/13/2024,0,766994963.5,766994.9635,3857.21623,0,228.1145833,231.1354167,229.3229167,298.2552083,303.2708333,310.6354167,50.00880208,2.805885417,1/13/2024 23:49,1/13/2024 23:49,1/13/2024 23:49,-31679.07578,998263.5852,0,,0,1,1/13/2024,1
667003,63,1/14/2024,0,770838866.3,770838.8663,3843.902768,0,227.5614973,230.2032086,229.4064171,301.0962567,305.9197861,316.9197861,50.00909091,4.177058824,1/14/2024 23:54,1/14/2024 23:54,1/14/2024 23:54,-65599.52968,1008494.94,0,,0,1,1/14/2024,1
674691,63,1/15/2024,0,774863054.3,774863.0543,4024.188038,0,227.6576087,230.1141304,228.5434783,338.7608696,339.5108696,350.3804348,50.02201087,4.502445652,1/15/2024 23:59,1/15/2024 23:59,1/15/2024 23:59,-17967.71897,1019022.191,0,,0,1,1/15/2024,1
682105,63,1/16/2024,0,779179766.7,779179.7667,4316.712319,0,227.5611111,229.5055556,232.9222222,351.5777778,362.3888889,364.9277778,50.02083333,4.036055556,1/16/2024 23:55,1/16/2024 23:55,1/16/2024 23:55,-59199.40011,1007099.764,0,,0,1,1/16/2024,1
689549,63,1/17/2024,0,783700724.6,783700.7246,4520.957971,0,227.4583333,229.3496377,230.9800725,358.7300725,351.2028986,353.2771739,50.02327899,2.536847826,1/17/2024 23:56,1/17/2024 23:56,1/17/2024 23:56,-29483.73719,985449.9581,0,,0,1,1/17/2024,1
700034,63,1/18/2024,0,788062820.4,788062.8204,4362.09577,0,227.8081633,229.7632653,230.7836735,362.8272109,344.7591837,337.2503401,50.02282993,4.242707483,1/18/2024 23:57,1/18/2024 23:57,1/18/2024 23:57,-29268.41516,1031260.615,0,,0,1,1/18/2024,1
712947,63,1/19/2024,0,792234151.4,792234.1514,4171.330943,0,227.5567568,230.0864865,228.227027,333.8810811,318.6108108,321.772973,50.01281081,3.424756757,1/19/2024 23:57,1/19/2024 23:57,1/19/2024 23:57,-47509.68281,1027640.641,0,,0,1,1/19/2024,1
727415,63,1/20/2024,0,796257433.3,796257.4333,4023.281982,0,227.4,229.2888889,230.1944444,345.2277778,321.7333333,322.4888889,50.00894444,3.217111111,1/20/2024 23:53,1/20/2024 23:53,1/20/2024 23:53,-59059.75217,1046875.013,0,,0,1,1/20/2024,1
741915,63,1/21/2024,0,800445751.4,800445.7514,4188.318048,0,228.2486188,230.2265193,232.1325967,342.2154696,322.0662983,301.0718232,50.00812155,2.394033149,1/21/2024 23:56,1/21/2024 23:56,1/21/2024 23:56,-33764.76028,1015874.061,0,,0,1,1/21/2024,1
755603,63,1/22/2024,0,803979069.3,803979.0693,3533.317952,0,227.752,231.1706667,235.1386667,355.6186667,330.488,320.4293333,50.01429333,2.988933333,1/22/2024 23:58,1/22/2024 23:58,1/22/2024 23:58,-29452.28936,1047231.665,0,,0,1,1/22/2024,1
763539,63,1/23/2024,0,809785516.2,809785.5162,5806.446876,0,227.9376559,231.80798,230.2817955,369.5436409,375.8528678,351.9750623,50.02578554,3.702369077,1/23/2024 23:55,1/23/2024 23:55,1/23/2024 23:55,-51916.33521,1036696.482,0,,0,1,1/23/2024,1
769281,63,1/24/2024,0,813973165.4,813973.1654,4187.649182,0,227.6099426,229.374761,229.7571702,375.2055449,362.0047801,359.8422562,50.0159369,4.001529637,1/24/2024 23:55,1/24/2024 23:55,1/24/2024 23:55,-23356.86172,1046938.615,0,,0,1,1/24/2024,1
786276,63,1/25/2024,0,818143547.9,818143.5479,4170.38248,0,227.7340426,229.5744681,231.5053191,370.6808511,345.6595745,344.3351064,50.02212766,3.896914894,1/25/2024 23:55,1/25/2024 23:55,1/25/2024 23:55,-53433.74495,1068080.354,0,,0,1,1/25/2024,1
805464,63,1/26/2024,0,821668080,821668.08,3524.532128,0,227.9672727,229.8,230.6945455,347.0927273,330.6909091,318.9327273,50.01076364,2.902727273,1/26/2024 23:42,1/26/2024 23:42,1/26/2024 23:42,-59859.52553,1075868.907,0,,0,1,1/26/2024,1
815557,63,1/27/2024,0,824744000,824744,3075.92,0,230,233,230,296,309,320,50.08,0.75,1/27/2024 0:01,1/27/2024 0:01,1/27/2024 0:01,-66048,1089536,0,,0,1,1/27/2024,1
820943,63,1/28/2024,0,831466901.1,831466.9011,6722.901099,0,227.978022,230.2527473,229.5934066,332.9010989,312.6153846,308.1868132,50.01967033,5.089010989,1/28/2024 23:48,1/28/2024 23:48,1/28/2024 23:48,-53306.58077,1106426.968,0,,0,1,1/28/2024,1
822946,63,1/29/2024,0,834541678.9,834541.6789,3074.777848,0,227.8631579,229.8789474,231.4052632,326.6157895,322.9157895,320.6210526,50.02168421,3.609842105,1/29/2024 23:49,1/29/2024 23:49,1/29/2024 23:49,-47617.00132,1072377.805,0,,0,1,1/29/2024,1
826662,63,1/30/2024,0,838458510.4,838458.5104,3916.831469,0,227.578125,229.5833333,229.3489583,337.1145833,321.2864583,332.1979167,50.02239583,4.3453125,1/30/2024 23:51,1/30/2024 23:51,1/30/2024 23:51,-41579.31802,1079186.162,0,,0,1,1/30/2024,1
