Timestamp,Nama Gedung,Lantai,Ruangan,Hasil Ukur Suhu (Celsius),Hasil Ukur Lumens (lx)
2024-01-01,WITEL,1,Ruang Satpam,31,644
2024-01-01,WITEL,1,Ruang Workshop,30,97
2024-01-01,WITEL,1,Ruang Gudang,26,283
2024-01-01,WITEL,1,Ruang Pool KBM,30,151
2024-01-01,WITEL,1,Ruang Parkir Motor,34,146
2024-01-01,WITEL,1,Lobby,25,263
2024-01-01,WITEL,1,Ruang SAS,29,169
2024-01-01,WITEL,1,Ruang DBS,27,145
2024-01-01,WITEL,1,Ruang Pantry DBS,28,288
2024-01-01,WITEL,1,Ruang P3K,29,173
2024-01-01,WITEL,1,Ruang P2Tel,30,91
2024-01-01,WITEL,1,Ruang Indibizz,32,324
2024-01-01,WITEL,2,Ruang Lobby,25,238
2024-01-01,WITEL,2,Ruang DGM,22,180
2024-01-01,WITEL,2,Ruang GM,19,353
2024-01-01,WITEL,2,Ruang Rapat Kecil,25,297
2024-01-01,WITEL,2,Ruang Tamu,29,184
2024-01-01,WITEL,2,Ruang Rapat Besar,25,567
2024-01-01,WITEL,2,Ruang Makan,30,243
2024-01-01,WITEL,2,Ruang Gen Y Corner,27,92
2024-01-01,WITEL,3,Ruang Digital LAB,28,187
2024-01-01,WITEL,3,Ruang HR,28,160
2024-01-01,WITEL,3,Ruang CC,20,308
2024-01-01,WITEL,3,Ruang Manager CC,26,313
2024-01-01,WITEL,3,Ruang Rapat CC,22,502
2024-01-01,WITEL,3,Ruang Rapat HR,25,423
2024-01-01,WITEL,3,Ruang Koridor,27,148
2024-01-01,WITEL,4,Ruang Arnet,30,123
2024-01-01,WITEL,4,Ruang HR,28,188
2024-01-01,WITEL,4,Ruang BigBox,30,275
2024-01-01,WITEL,4,Ruang Rapat Arnet,23,470
2024-01-01,WITEL,4,Ruang Manager Arnet,23,342
2024-01-01,WITEL,5,Pantry,29,217
2024-01-01,WITEL,5,Ruang Manager GS,20,171
2024-01-01,WITEL,5,Ruang Manager,21,318
2024-01-01,WITEL,5,Ruang Istirahat,28,208
2024-01-01,WITEL,5,Ruang Kopeg Tel,27,94
2024-01-01,WITEL,5,Ruang Rapat,23,555
2024-01-01,WITEL,5,Working Space,30,305
2024-01-01,WITEL,5,Toilet Cowo,28,280
2024-01-01,WITEL,5,Toilet Cewe,30,259
2024-01-01,WITEL,5,Koridor,26,116
2024-01-01,WITEL,6,Koridor IDO,29,137
2024-01-01,WITEL,6,Toilet cewe,29,144
2024-01-01,WITEL,6,Working Space,27,212
2024-01-01,WITEL,6,Ruang Meeting Segi,23,392
2024-01-01,WITEL,6,Loker pria,28,341
2024-01-01,WITEL,6,Loker wanita,28,180
2024-01-01,WITEL,6,Gudang konsumsi,28,118
2024-01-01,WITEL,6,Ruang SL,29,88
