record_id,id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,KwH,KwH per Hari,id_stand_energy_terima,id_v1,id_v2,id_v3,id_i1,id_i2,id_i3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,apparent_energy_export,rssi,lokasi,resample_date,data_points_count,building,category,system_type,level,meter_id,description,source_file,file_path,processed_ts
1,604978.0,38.0,1/1/2024,251400251.0,54244195.61,5424.42,,24058.0,227.754386,227.1403509,229.2719298,0.0,4.447368421,3.087719298,50.00552632,0.757701754,1/1/2024 23:49,1/1/2024 23:49,1/1/2024 23:49,12788098.68,6683448.974,68576595.04,76879.0,-118.1578947,85.0,1/1/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
2,608761.0,38.0,1/2/2024,251400251.0,54717717.31,5471.77,47.35,24058.0,226.5865385,225.875,228.2211538,2.471153846,6.75,5.182692308,50.00596154,0.729842308,1/2/2024 22:29,1/2/2024 22:29,1/2/2024 22:29,12797682.8,6744320.981,69150680.63,76879.0,-119.7884615,85.0,1/2/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
3,615702.0,38.0,1/3/2024,251400251.0,55482400.0,5548.24,76.47,24058.0,230.0,229.5714286,231.7142857,0.0,2.857142857,1.0,50.02571429,0.502442857,1/3/2024 23:49,1/3/2024 23:49,1/3/2024 23:49,12814112.57,6843594.857,70172776.71,76879.0,-116.8571429,85.0,1/3/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
4,615926.0,38.0,1/4/2024,251400251.0,55805108.94,5580.51,32.27,24058.0,226.8943089,226.0081301,228.1219512,2.422764228,7.18699187,4.804878049,50.00422764,0.812077236,1/4/2024 23:49,1/4/2024 23:49,1/4/2024 23:49,12819971.2,6876715.846,70584829.98,76879.0,-117.9105691,85.0,1/4/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
5,619386.0,38.0,1/5/2024,251400251.0,56267455.47,5626.75,46.23,24058.0,227.1171875,226.6640625,228.609375,2.3359375,4.3203125,3.7578125,50.01132813,0.506794531,1/5/2024 23:49,1/5/2024 23:49,1/5/2024 23:49,12826969.18,6944277.055,71216446.32,76879.0,-119.671875,85.0,1/5/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
6,623069.0,38.0,1/6/2024,251400251.0,56509172.81,5650.92,24.17,24058.0,228.8596491,228.5614035,230.5,0.0,0.421052632,2.377192982,50.02096491,0.441300877,1/6/2024 23:49,1/6/2024 23:49,1/6/2024 23:49,12829149.25,7026511.842,71594596.88,76879.0,-119.9122807,85.0,1/6/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
7,626675.0,38.0,1/7/2024,251400251.0,56641569.7,5664.16,13.24,24058.0,228.7878788,228.4393939,230.530303,0.0,1.681818182,1.53030303,50.01878788,0.490012121,1/7/2024 23:39,1/7/2024 23:39,1/7/2024 23:39,12832757.79,7095867.394,71788123.42,76879.0,-120.3636364,85.0,1/7/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
8,630433.0,38.0,1/8/2024,251400251.0,56943438.89,5694.34,30.19,24058.0,225.9222222,225.2777778,227.5,2.644444444,5.577777778,3.788888889,50.01244444,0.578102222,1/8/2024 23:49,1/8/2024 23:49,1/8/2024 23:49,12836806.07,7190467.478,72242535.2,76879.0,-120.0444444,85.0,1/8/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
9,634300.0,38.0,1/9/2024,251400251.0,57241820.34,5724.18,29.84,24058.0,226.4745763,225.8474576,228.0,2.423728814,4.288135593,4.169491525,50.01101695,0.549242373,1/9/2024 23:49,1/9/2024 23:49,1/9/2024 23:49,12840872.46,7246442.525,72658655.59,76879.0,-119.2711864,85.0,1/9/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
10,638000.0,38.0,1/10/2024,251400251.0,57698212.5,5769.82,45.64,24058.0,227.0625,226.4375,228.734375,2.265625,3.6875,3.5,50.021875,0.473664062,1/10/2024 23:29,1/10/2024 23:29,1/10/2024 23:29,12846356.94,7323560.031,73284725.73,76879.0,-119.375,85.0,1/10/2024,1.0,WITEL,AHU,AHU,L1,251400251,AHU L1,MDP 3. 1_Wittel_AHU L1.csv,project/data/raw/gedung_witel/ahu\MDP 3. 1_Wittel_AHU L1.csv,2025-08-07 17:56:41
